Name, Value
Adam,	10
Adele,	7
Akos,	13
Amber, 1
Amy, 2
Angelina,	5
Anita,	2
Ben,	1
Berk,	11
Bobbi,	2
Boss,	1
Ceceilia,	2
Corbin,	7
Corey,	10
Dad,	6
Damian,	3
Dan,	1
Daniel,	1
Ding,	2
Dora,	20
Edward,	2
Eleonora, 	4
Elisa,	2
Ellen,	7
Emily,	6
Emily Hancock,	1
Erik,	2
Ethan,	7
Eva Fodor,	1
Eva Spearnak,	1
Fiona,	11
Gordon,	11
Isabella,	1
Jackie,	1
Jared,	1
Jasmine,	2
Jenny,	1
Jenya,	4
Jessica,	18
Karesh,	1
Katie,	7
Kevin,	11
Konrad,	1
Kyle,	2
Leon,	1
Li Hu,	2
Lilla,	15
Lily,	2
Linda,	2
Lindsay,	9
Marcela,	1
Mom,	7
Monika,	2
Naitra,	7
Paul,	26
Rasa,	5
Raymond,	1
Riya,	8
Robert,	9
Sabina,	17
Sarah Barber,	9
Sarah Brooker,	16
Sarah Nelson,	1
Shannelle,	25
Sheldon,	1
Sienna,	5
Silvia,	1
Sinead,	5
Stella,	22
Thomas,	1
Tristan, 	1
Xiaoyan,	1
Yvonne,	8
